Відділ,Номер угоди,Лінійка продукту,Стать,Вік,Ціна,Кількість,Податок 6%,Сезон,Загальна сума,Дата,Час,Тип оплати
B,700-69-3240,Алкоголь,Чоловік,44,2286.53,9,137.19,Весна,2652.37,2023-02-27,14:58:34,Електронний гаманець
A,892-97-7170,Молочні продукти,Чоловік,27,71.89,3,4.31,Весна,83.39,2023-03-19,19:23:03,Оплата карткою
B,705-67-6377,Солодкі напої,Чоловік,82,15.74,1,0.94,Весна,18.25,2023-01-31,17:28:05,Готівкою
A,860-36-3756,Молочні продукти,Жінка,59,194.27,7,11.66,Весна,225.36,2023-02-08,11:47:53,Електронний гаманець
A,173-18-6602,Молочні продукти,Чоловік,45,59.33,3,3.56,Весна,68.82,2023-01-24,15:59:21,Електронний гаманець
A,706-54-5368,Солодощі,Чоловік,30,127.58,3,7.65,Весна,147.99,2023-01-29,12:24:00,Електронний гаманець
B,675-39-1587,Алкоголь,Чоловік,36,134.9,2,8.09,Весна,156.48,2023-02-26,16:03:58,Електронний гаманець
C,653-91-8654,Інструменти,Чоловік,19,472.83,4,28.37,Весна,548.48,2023-03-28,16:56:15,Готівкою
A,521-49-5823,М'ясні продукти,Чоловік,13,965.01,6,57.9,Весна,1119.41,2023-01-28,14:42:01,Оплата карткою
A,124-48-3989,Фрукти та овочі,Чоловік,44,180.28,6,10.82,Весна,209.13,2023-01-14,18:24:16,Готівкою
C,652-79-4974,Косметика,Жінка,16,1119.94,9,67.2,Весна,1299.13,2023-01-26,13:35:51,Оплата карткою
B,935-59-7536,Алкоголь,Чоловік,66,129.92,4,7.8,Весна,150.71,2023-01-12,12:24:10,Готівкою
C,747-72-6169,Інструменти,Чоловік,30,2129.08,9,127.74,Весна,2469.73,2023-03-17,14:49:53,Електронний гаманець
A,493-23-3776,Молочні продукти,Жінка,21,125.29,3,7.52,Весна,145.34,2023-03-28,12:40:22,Оплата карткою
A,857-78-2839,Молочні продукти,Жінка,37,52.06,2,3.12,Весна,60.39,2023-03-02,16:28:02,Оплата карткою
A,500-59-1539,Молочні продукти,Чоловік,36,258.56,8,15.51,Весна,299.93,2023-03-14,17:10:16,Готівкою
A,379-93-8377,М'ясні продукти,Чоловік,82,310.94,7,18.66,Весна,360.69,2023-03-26,20:11:39,Електронний гаманець
B,891-58-2190,Солодкі напої,Жінка,40,109.58,6,6.57,Весна,127.11,2023-03-17,10:44:01,Готівкою
A,812-63-7103,Фрукти та овочі,Жінка,49,23.26,1,1.4,Весна,26.99,2023-03-10,16:37:01,Електронний гаманець
A,670-74-5005,М'ясні продукти,Жінка,51,346.11,3,20.77,Весна,401.49,2023-02-18,12:35:59,Готівкою
A,743-98-7819,Фрукти та овочі,Чоловік,40,109.94,5,6.6,Весна,127.53,2023-02-11,10:41:24,Електронний гаманець
B,329-59-2227,Алкоголь,Жінка,18,2609.44,9,156.57,Весна,3026.95,2023-03-13,18:18:32,Оплата карткою
B,662-98-8046,Солодкі напої,Жінка,32,321.04,9,19.26,Весна,372.4,2023-03-21,17:09:12,Готівкою
A,898-53-1167,Фрукти та овочі,Жінка,12,110.34,7,6.62,Весна,127.99,2023-01-12,13:29:08,Оплата карткою
B,494-37-2832,Алкоголь,Жінка,41,1460.11,5,87.61,Весна,1693.73,2023-02-10,12:15:45,Оплата карткою
A,320-22-4633,Молочні продукти,Чоловік,38,145.22,4,8.71,Весна,168.45,2023-01-23,19:57:16,Електронний гаманець
A,441-67-9584,Фрукти та овочі,Чоловік,53,98.23,3,5.89,Весна,113.94,2023-02-21,17:10:02,Оплата карткою
A,570-47-7650,Солодощі,Жінка,42,744.2,7,44.65,Весна,863.27,2023-03-05,14:53:14,Готівкою
B,548-40-7996,Солодкі напої,Чоловік,27,32.4,1,1.94,Весна,37.58,2023-01-29,15:33:30,Оплата карткою
A,319-59-6455,Фрукти та овочі,Жінка,59,175.93,4,10.56,Весна,204.08,2023-01-10,22:51:48,Готівкою
C,374-57-1030,Інструменти,Чоловік,16,579.73,7,34.78,Весна,672.48,2023-03-16,20:23:46,Електронний гаманець
A,661-70-2289,М'ясні продукти,Жінка,15,1708.01,10,102.48,Весна,1981.29,2023-01-18,21:13:56,Електронний гаманець
A,528-55-8147,Фрукти та овочі,Жінка,32,148.94,5,8.94,Весна,172.77,2023-02-05,16:39:13,Електронний гаманець
C,202-98-3157,Інструменти,Чоловік,35,4557.48,10,273.45,Весна,5286.68,2023-01-12,11:19:10,Оплата карткою
C,640-29-4117,Інструменти,Чоловік,34,673.54,7,40.41,Весна,781.3,2023-03-17,20:13:26,Оплата карткою
A,441-21-9715,Молочні продукти,Жінка,61,242.5,9,14.55,Весна,281.3,2023-03-19,20:16:44,Готівкою
A,876-20-7660,Молочні продукти,Чоловік,56,183.91,6,11.03,Весна,213.33,2023-01-07,20:15:08,Готівкою
C,117-63-3910,Косметика,Жінка,29,1134.77,4,68.09,Весна,1316.34,2023-02-28,17:54:38,Оплата карткою
A,585-92-6415,Фрукти та овочі,Жінка,18,165.92,8,9.96,Весна,192.47,2023-03-19,13:09:33,Оплата карткою
A,465-14-2362,Молочні продукти,Чоловік,13,146.57,4,8.79,Весна,170.02,2023-01-31,22:51:10,Електронний гаманець
A,964-67-3092,М'ясні продукти,Жінка,86,1130.3,6,67.82,Весна,1311.15,2023-02-10,17:31:27,Електронний гаманець
A,187-39-8095,Фрукти та овочі,Чоловік,16,45.29,3,2.72,Весна,52.54,2023-03-13,11:36:40,Готівкою
B,800-49-9064,Солодкі напої,Жінка,12,262.71,7,15.76,Весна,304.74,2023-02-12,10:56:44,Оплата карткою
B,680-10-4978,Алкоголь,Жінка,87,1541.05,10,92.46,Весна,1787.62,2023-01-24,19:16:24,Оплата карткою
C,815-92-4483,Косметика,Чоловік,10,2116.72,9,127.0,Весна,2455.39,2023-03-07,08:15:05,Готівкою
B,177-35-9476,Алкоголь,Чоловік,59,110.08,3,6.6,Весна,127.69,2023-01-27,14:31:29,Готівкою
A,224-78-1238,Молочні продукти,Чоловік,66,78.24,1,4.69,Весна,90.75,2023-02-03,19:51:19,Готівкою
A,691-77-1407,Молочні продукти,Жінка,21,250.8,8,15.05,Весна,290.93,2023-02-05,21:36:07,Готівкою
A,824-29-3626,Фрукти та овочі,Жінка,26,5.3,1,0.32,Весна,6.15,2023-03-14,09:30:12,Оплата карткою
A,139-54-8410,М'ясні продукти,Жінка,52,255.67,4,15.34,Весна,296.58,2023-01-24,20:45:41,Електронний гаманець
C,112-30-3722,Косметика,Жінка,12,180.91,3,10.85,Весна,209.85,2023-02-19,14:27:29,Готівкою
B,262-25-3430,Солодкі напої,Чоловік,24,113.3,5,6.8,Весна,131.43,2023-02-13,15:05:10,Електронний гаманець
A,418-58-2056,Солодощі,Чоловік,75,290.92,4,17.46,Весна,337.47,2023-01-23,18:30:40,Готівкою
A,374-29-4470,М'ясні продукти,Жінка,45,950.53,7,57.03,Весна,1102.61,2023-03-26,20:13:07,Готівкою
A,631-74-8127,Солодощі,Жінка,50,590.46,10,35.43,Весна,684.94,2023-02-19,19:25:12,Готівкою
A,200-80-4665,Фрукти та овочі,Чоловік,14,64.04,4,3.84,Весна,74.28,2023-03-06,18:49:46,Готівкою
A,698-46-4923,Молочні продукти,Жінка,30,68.1,3,4.09,Весна,79.0,2023-01-27,21:08:07,Готівкою
B,261-86-5927,Солодкі напої,Чоловік,24,29.37,2,1.76,Весна,34.07,2023-01-12,16:46:46,Готівкою
A,244-13-7607,Солодощі,Жінка,89,34.91,2,2.09,Весна,40.49,2023-03-08,14:27:07,Електронний гаманець
B,769-65-2585,Солодкі напої,Чоловік,19,50.36,4,3.02,Весна,58.42,2023-01-03,17:34:40,Оплата карткою
A,364-12-6400,Солодощі,Жінка,48,250.55,3,15.03,Весна,290.63,2023-03-23,21:55:28,Електронний гаманець
B,528-72-7810,Солодкі напої,Чоловік,29,101.85,5,6.11,Весна,118.14,2023-01-10,18:21:43,Електронний гаманець
A,670-55-5030,Фрукти та овочі,Жінка,64,158.1,6,9.49,Весна,183.4,2023-01-14,16:25:18,Готівкою
B,699-11-5975,Алкоголь,Чоловік,36,414.69,3,24.88,Весна,481.04,2023-02-26,21:27:48,Оплата карткою
B,823-18-9257,Алкоголь,Чоловік,40,1877.97,4,112.68,Весна,2178.45,2023-01-14,15:33:48,Оплата карткою
A,356-22-8968,М'ясні продукти,Жінка,31,267.98,4,16.08,Весна,310.86,2023-01-03,18:44:37,Оплата карткою
A,439-90-7181,М'ясні продукти,Чоловік,58,908.25,9,54.49,Весна,1053.57,2023-01-11,19:05:04,Оплата карткою
A,527-42-4241,Фрукти та овочі,Чоловік,48,104.63,5,6.28,Весна,121.37,2023-02-27,19:14:25,Готівкою
A,438-62-1370,Фрукти та овочі,Чоловік,68,19.48,3,1.17,Весна,22.6,2023-03-22,08:59:14,Оплата карткою
A,400-70-4552,Фрукти та овочі,Жінка,36,162.22,10,9.73,Весна,188.17,2023-03-20,14:58:59,Оплата карткою
C,647-69-3504,Косметика,Жінка,39,741.94,3,44.52,Весна,860.65,2023-02-26,20:34:08,Оплата карткою
C,810-81-2359,Інструменти,Чоловік,33,988.73,7,59.32,Весна,1146.92,2023-03-21,13:17:47,Готівкою
A,345-42-2413,Фрукти та овочі,Чоловік,67,104.55,2,6.27,Весна,121.27,2023-03-15,20:15:55,Готівкою
A,951-36-6641,Солодощі,Жінка,38,307.83,4,18.47,Весна,357.08,2023-01-23,10:07:18,Готівкою
A,304-18-3730,Молочні продукти,Чоловік,71,73.51,2,4.41,Весна,85.27,2023-02-16,16:59:25,Готівкою
A,139-47-2040,Молочні продукти,Жінка,15,302.25,9,18.13,Весна,350.61,2023-02-01,17:00:49,Електронний гаманець
C,556-48-5241,Косметика,Чоловік,23,1285.81,6,77.15,Весна,1491.54,2023-01-09,20:20:11,Електронний гаманець
A,318-23-7610,Молочні продукти,Жінка,14,280.51,9,16.83,Весна,325.39,2023-01-02,21:18:59,Електронний гаманець
A,542-31-1352,Молочні продукти,Жінка,30,182.51,7,10.95,Весна,211.71,2023-02-04,20:52:39,Готівкою
A,292-61-4293,Солодощі,Жінка,49,171.14,6,10.27,Весна,198.52,2023-01-31,20:38:23,Оплата карткою
C,819-69-4776,Косметика,Жінка,28,184.76,3,11.09,Весна,214.33,2023-01-21,08:46:04,Електронний гаманець
C,873-50-7405,Косметика,Жінка,11,93.01,2,5.58,Весна,107.89,2023-01-31,22:01:29,Готівкою
A,611-72-3072,Солодощі,Жінка,19,51.73,1,3.1,Весна,60.0,2023-02-09,15:44:41,Готівкою
C,611-64-1954,Інструменти,Чоловік,11,2052.07,2,123.12,Весна,2380.4,2023-03-09,13:48:11,Готівкою
A,270-49-3742,Солодощі,Чоловік,29,909.15,10,54.55,Весна,1054.62,2023-02-25,20:58:52,Електронний гаманець
A,596-85-2220,Солодощі,Жінка,38,1272.24,9,76.33,Весна,1475.79,2023-02-24,13:52:10,Електронний гаманець
B,386-34-5959,Солодкі напої,Чоловік,18,66.36,5,3.98,Весна,76.98,2023-01-31,13:09:28,Готівкою
B,614-47-8139,Алкоголь,Чоловік,21,1138.3,9,68.3,Весна,1320.43,2023-01-06,12:50:22,Готівкою
A,898-32-8237,М'ясні продукти,Жінка,61,216.09,2,12.97,Весна,250.67,2023-01-16,20:35:54,Готівкою
C,756-28-4413,Інструменти,Чоловік,21,807.54,4,48.45,Весна,936.74,2023-02-28,12:22:10,Електронний гаманець
A,119-29-6181,Солодощі,Жінка,17,110.9,5,6.65,Весна,128.64,2023-01-29,20:47:57,Готівкою
A,413-29-4381,Молочні продукти,Жінка,16,63.05,1,3.78,Весна,73.13,2023-03-04,15:55:14,Оплата карткою
A,649-45-1914,Солодощі,Жінка,33,47.37,2,2.84,Весна,54.95,2023-03-25,15:35:06,Готівкою
C,858-56-5651,Інструменти,Жінка,19,56.37,1,3.38,Весна,65.39,2023-03-04,17:42:50,Електронний гаманець
A,602-29-4693,М'ясні продукти,Чоловік,55,478.95,1,28.74,Весна,555.59,2023-03-30,12:42:25,Електронний гаманець
A,573-59-6033,Молочні продукти,Жінка,55,37.41,2,2.24,Весна,43.39,2023-01-08,15:56:54,Готівкою
A,989-50-6296,Солодощі,Жінка,50,392.74,7,23.56,Весна,455.57,2023-01-20,19:41:30,Оплата карткою
B,655-96-1866,Алкоголь,Чоловік,73,62.79,2,3.77,Весна,72.84,2023-03-28,14:41:59,Готівкою
A,765-16-3866,Фрукти та овочі,Жінка,12,25.41,4,1.52,Весна,29.47,2023-01-04,19:03:08,Готівкою
C,498-13-8318,Інструменти,Чоловік,28,628.69,2,37.72,Весна,729.28,2023-01-07,09:57:28,Електронний гаманець
C,409-93-1858,Інструменти,Чоловік,17,1816.81,4,109.01,Весна,2107.5,2023-02-14,09:14:37,Оплата карткою
A,371-65-7891,М'ясні продукти,Жінка,25,674.09,8,40.45,Весна,781.95,2023-02-17,17:27:57,Оплата карткою
B,539-85-4544,Алкоголь,Чоловік,39,259.6,6,15.58,Весна,301.14,2023-01-25,09:40:16,Оплата карткою
A,812-72-4657,Солодощі,Чоловік,21,15.55,1,0.93,Весна,18.04,2023-01-31,20:42:43,Електронний гаманець
C,306-83-2491,Інструменти,Жінка,18,1326.09,10,79.57,Весна,1538.27,2023-01-29,15:28:31,Готівкою
A,422-52-9335,Фрукти та овочі,Жінка,32,200.51,10,12.03,Весна,232.59,2023-01-08,21:28:55,Оплата карткою
B,731-69-2175,Алкоголь,Жінка,18,1435.74,8,86.14,Весна,1665.45,2023-02-05,17:53:36,Оплата карткою
B,833-70-9575,Солодкі напої,Чоловік,24,45.02,2,2.7,Весна,52.22,2023-02-25,15:18:41,Готівкою
A,182-96-7675,Молочні продукти,Чоловік,60,140.29,4,8.42,Весна,162.74,2023-02-26,16:27:10,Готівкою
A,605-33-8244,М'ясні продукти,Чоловік,84,1019.63,9,61.18,Весна,1182.77,2023-02-28,16:12:10,Готівкою
A,913-41-3503,Солодощі,Чоловік,11,30.55,2,1.83,Весна,35.44,2023-02-27,08:50:58,Готівкою
B,792-23-6537,Алкоголь,Чоловік,23,1748.81,9,104.93,Весна,2028.62,2023-01-29,18:59:50,Оплата карткою
C,119-18-7903,Інструменти,Жінка,34,5725.86,10,343.55,Весна,6642.0,2023-02-18,19:00:26,Готівкою
A,448-52-4739,Солодощі,Жінка,23,1146.48,10,68.79,Весна,1329.92,2023-02-11,21:54:13,Готівкою
B,839-44-9857,Солодкі напої,Жінка,27,47.09,3,2.83,Весна,54.63,2023-03-27,19:47:22,Оплата карткою
A,291-71-7670,Молочні продукти,Жінка,66,115.61,6,6.94,Весна,134.11,2023-02-03,18:22:55,Готівкою
A,620-23-5937,М'ясні продукти,Жінка,51,83.93,2,5.04,Весна,97.36,2023-01-26,22:24:49,Готівкою
C,573-82-9279,Інструменти,Чоловік,13,2542.23,4,152.53,Весна,2948.98,2023-01-15,13:04:26,Оплата карткою
A,692-98-6187,Солодощі,Жінка,34,493.68,8,29.62,Весна,572.67,2023-01-14,16:15:46,Оплата карткою
A,868-30-8955,Фрукти та овочі,Жінка,43,136.58,5,8.19,Весна,158.43,2023-03-10,20:47:30,Готівкою
A,984-86-2917,Молочні продукти,Жінка,46,238.9,5,14.33,Весна,277.12,2023-02-19,12:35:47,Оплата карткою
A,224-10-7056,Фрукти та овочі,Чоловік,42,256.81,7,15.41,Весна,297.9,2023-03-16,20:13:01,Готівкою
A,279-23-8569,Фрукти та овочі,Чоловік,70,87.43,7,5.25,Весна,101.42,2023-01-02,16:23:01,Готівкою
B,857-60-9354,Солодкі напої,Чоловік,38,220.11,8,13.21,Весна,255.33,2023-01-28,13:50:13,Оплата карткою
B,778-43-2641,Солодкі напої,Чоловік,34,233.51,10,14.01,Весна,270.87,2023-02-20,21:09:59,Електронний гаманець
A,151-91-8424,Солодощі,Жінка,49,1026.48,9,61.59,Весна,1190.72,2023-01-31,16:23:37,Електронний гаманець
B,980-16-7585,Солодкі напої,Чоловік,31,111.58,7,6.69,Весна,129.43,2023-01-03,19:28:37,Готівкою
C,119-35-4278,Інструменти,Чоловік,36,810.84,3,48.65,Весна,940.57,2023-03-27,18:04:38,Оплата карткою
A,880-76-1879,Солодощі,Жінка,79,174.59,4,10.48,Весна,202.53,2023-01-16,19:48:28,Готівкою
C,769-48-3972,Косметика,Жінка,35,2269.66,7,136.18,Весна,2632.81,2023-01-12,21:58:48,Оплата карткою
B,347-99-9065,Алкоголь,Жінка,85,146.83,1,8.81,Весна,170.32,2023-03-26,12:23:15,Готівкою
A,763-20-4990,Фрукти та овочі,Жінка,39,134.83,8,8.09,Весна,156.4,2023-03-15,17:40:21,Готівкою
A,483-42-5817,Фрукти та овочі,Жінка,20,115.86,5,6.95,Весна,134.4,2023-02-11,20:38:42,Електронний гаманець
B,498-78-7767,Алкоголь,Чоловік,22,796.04,4,47.76,Весна,923.4,2023-01-30,12:41:08,Оплата карткою
C,424-54-7472,Інструменти,Чоловік,34,1318.09,7,79.09,Весна,1528.99,2023-03-14,22:49:29,Оплата карткою
C,497-93-3734,Косметика,Жінка,69,1850.57,10,111.03,Весна,2146.66,2023-01-29,20:22:31,Готівкою
C,808-14-5531,Інструменти,Жінка,40,883.35,2,53.0,Весна,1024.68,2023-02-09,18:31:47,Готівкою
B,307-36-2373,Алкоголь,Чоловік,86,236.03,4,14.16,Весна,273.79,2023-01-21,19:40:36,Готівкою
A,595-91-6491,Солодощі,Чоловік,30,363.72,2,21.82,Весна,421.91,2023-02-18,12:03:24,Готівкою
B,129-82-5179,Алкоголь,Жінка,52,940.43,5,56.43,Весна,1090.9,2023-01-04,15:13:30,Електронний гаманець
B,252-44-1007,Алкоголь,Чоловік,52,996.43,4,59.79,Весна,1155.86,2023-02-26,22:04:35,Оплата карткою
B,927-84-2780,Алкоголь,Жінка,35,2519.13,9,151.15,Весна,2922.19,2023-02-08,15:52:31,Готівкою
A,919-24-3414,М'ясні продукти,Чоловік,27,916.37,10,54.98,Весна,1062.99,2023-02-21,16:52:51,Готівкою
A,124-12-3561,Молочні продукти,Жінка,80,244.04,9,14.64,Весна,283.08,2023-03-17,14:08:47,Готівкою
A,806-47-9229,Молочні продукти,Чоловік,86,196.26,6,11.78,Весна,227.67,2023-01-21,12:47:47,Готівкою
A,876-83-8056,Фрукти та овочі,Жінка,47,95.03,7,5.7,Весна,110.23,2023-02-22,13:07:15,Електронний гаманець
C,122-10-8554,Косметика,Жінка,22,1283.04,7,76.98,Весна,1488.32,2023-03-10,13:25:45,Електронний гаманець
A,517-17-6731,Молочні продукти,Чоловік,57,120.7,3,7.24,Весна,140.01,2023-03-06,19:25:28,Готівкою
A,496-68-4128,Солодощі,Жінка,37,208.8,6,12.53,Весна,242.21,2023-02-25,20:12:56,Готівкою
C,298-55-4514,Косметика,Жінка,30,727.13,3,43.63,Весна,843.47,2023-02-05,18:39:56,Оплата карткою
B,975-56-9692,Алкоголь,Жінка,67,341.02,2,20.46,Весна,395.58,2023-02-23,19:40:36,Оплата карткою
B,944-89-1326,Солодкі напої,Чоловік,64,225.29,7,13.52,Весна,261.34,2023-02-23,19:18:23,Готівкою
A,251-15-4842,Фрукти та овочі,Жінка,60,150.96,8,9.06,Весна,175.12,2023-02-23,10:21:49,Оплата карткою
A,426-37-4012,Фрукти та овочі,Жінка,13,5.39,1,0.32,Весна,6.25,2023-01-03,14:34:20,Оплата карткою
B,601-76-2624,Алкоголь,Жінка,32,3958.22,9,237.49,Весна,4591.53,2023-01-14,16:41:07,Електронний гаманець
A,701-29-3702,Молочні продукти,Жінка,33,246.68,9,14.8,Весна,286.15,2023-03-04,14:45:29,Електронний гаманець
A,109-11-9134,Молочні продукти,Жінка,36,260.26,8,15.62,Весна,301.91,2023-02-22,17:43:28,Оплата карткою
A,612-47-3482,Фрукти та овочі,Жінка,25,244.44,5,14.67,Весна,283.55,2023-03-30,20:32:48,Оплата карткою
A,736-78-2283,Фрукти та овочі,Жінка,57,230.0,8,13.8,Весна,266.8,2023-02-01,16:21:34,Електронний гаманець
A,394-75-8800,Солодощі,Чоловік,17,454.26,4,27.26,Весна,526.95,2023-03-30,20:54:19,Оплата карткою
A,558-60-3991,М'ясні продукти,Чоловік,83,185.0,4,11.1,Весна,214.6,2023-02-11,14:51:21,Готівкою
A,465-27-1652,Молочні продукти,Жінка,28,47.2,2,2.83,Весна,54.75,2023-01-15,20:03:38,Електронний гаманець
A,141-90-9654,Солодощі,Жінка,23,401.77,4,24.11,Весна,466.06,2023-03-05,13:54:51,Електронний гаманець
C,354-81-4560,Інструменти,Жінка,39,1128.92,5,67.74,Весна,1309.55,2023-02-02,12:01:02,Електронний гаманець
C,679-38-4605,Інструменти,Чоловік,38,2534.92,3,152.1,Весна,2940.51,2023-01-06,21:33:14,Готівкою
C,413-97-3528,Косметика,Жінка,14,71.85,2,4.31,Весна,83.34,2023-02-28,14:02:19,Електронний гаманець
C,815-46-1334,Косметика,Жінка,24,1568.81,10,94.13,Весна,1819.82,2023-01-10,16:44:50,Готівкою
B,245-13-4229,Алкоголь,Чоловік,50,1353.7,10,81.22,Весна,1570.29,2023-03-05,20:02:53,Електронний гаманець
B,197-22-4638,Солодкі напої,Чоловік,25,172.24,9,10.33,Весна,199.79,2023-02-26,16:19:48,Оплата карткою
A,379-54-5210,М'ясні продукти,Чоловік,61,519.1,9,31.15,Весна,602.16,2023-03-20,09:28:06,Готівкою
A,292-76-2183,Молочні продукти,Жінка,57,198.25,6,11.89,Весна,229.96,2023-01-01,22:59:58,Готівкою
A,450-99-8038,Солодощі,Чоловік,46,801.06,8,48.06,Весна,929.23,2023-02-19,13:58:55,Електронний гаманець
B,198-65-2566,Алкоголь,Чоловік,27,2137.76,6,128.27,Весна,2479.81,2023-03-14,20:17:01,Готівкою
A,676-49-4711,Фрукти та овочі,Жінка,26,158.27,7,9.5,Весна,183.6,2023-03-26,20:26:52,Готівкою
C,962-24-2135,Косметика,Жінка,20,2579.75,8,154.78,Весна,2992.51,2023-03-26,16:57:25,Готівкою
C,922-19-3228,Косметика,Жінка,57,67.79,1,4.07,Весна,78.64,2023-01-06,14:47:13,Оплата карткою
C,248-76-2338,Інструменти,Чоловік,10,3982.47,10,238.95,Весна,4619.67,2023-01-30,20:14:58,Готівкою
A,345-94-8653,М'ясні продукти,Жінка,50,198.62,3,11.92,Весна,230.4,2023-02-18,14:22:38,Електронний гаманець
A,380-59-5802,Фрукти та овочі,Жінка,85,69.05,5,4.14,Весна,80.09,2023-03-12,10:13:17,Готівкою
A,546-58-3043,Солодощі,Чоловік,41,32.17,1,1.93,Весна,37.32,2023-03-15,18:42:18,Електронний гаманець
B,688-93-4123,Солодкі напої,Жінка,37,193.45,7,11.61,Весна,224.41,2023-02-07,16:24:29,Оплата карткою
C,793-48-3113,Інструменти,Жінка,22,51.46,1,3.09,Весна,59.7,2023-03-17,17:23:54,Готівкою
B,369-97-5463,Солодкі напої,Чоловік,39,98.56,4,5.91,Весна,114.33,2023-02-26,17:52:08,Готівкою
B,632-49-6615,Солодкі напої,Чоловік,10,189.34,4,11.36,Весна,219.63,2023-03-08,18:44:35,Оплата карткою
B,456-11-8081,Солодкі напої,Чоловік,50,298.7,10,17.92,Весна,346.49,2023-03-06,10:42:42,Електронний гаманець
B,675-25-6948,Алкоголь,Чоловік,44,50.94,1,3.06,Весна,59.09,2023-01-21,22:12:36,Готівкою
A,885-68-7987,Молочні продукти,Жінка,45,21.85,1,1.31,Весна,25.34,2023-02-20,20:02:15,Електронний гаманець
C,834-61-7359,Косметика,Жінка,26,1989.82,10,119.39,Весна,2308.19,2023-01-18,11:44:42,Електронний гаманець
A,720-52-7779,М'ясні продукти,Чоловік,29,267.35,1,16.04,Весна,310.13,2023-03-09,20:42:46,Оплата карткою
B,495-72-6816,Алкоголь,Жінка,49,1235.24,3,74.11,Весна,1432.87,2023-01-12,21:00:16,Оплата карткою
A,620-82-2409,Солодощі,Жінка,27,517.66,6,31.06,Весна,600.49,2023-03-07,15:26:09,Оплата карткою
C,514-57-3362,Косметика,Жінка,12,1051.89,7,63.11,Весна,1220.19,2023-02-04,11:12:21,Оплата карткою
B,398-35-6976,Солодкі напої,Жінка,38,33.47,3,2.01,Весна,38.83,2023-03-22,22:20:38,Готівкою
A,540-99-7385,Фрукти та овочі,Чоловік,90,77.34,2,4.64,Весна,89.71,2023-01-01,19:16:21,Електронний гаманець
A,813-75-2584,Фрукти та овочі,Чоловік,75,179.25,10,10.75,Весна,207.93,2023-02-07,19:48:39,Готівкою
B,543-38-9306,Алкоголь,Жінка,36,199.25,1,11.96,Весна,231.14,2023-01-05,20:05:42,Оплата карткою
C,344-37-1166,Інструменти,Чоловік,33,1517.48,9,91.05,Весна,1760.28,2023-02-07,18:16:29,Готівкою
B,810-31-6199,Солодкі напої,Жінка,38,101.86,2,6.11,Весна,118.16,2023-02-05,12:03:27,Електронний гаманець
A,722-89-9903,М'ясні продукти,Чоловік,27,502.56,4,30.15,Весна,582.97,2023-01-24,16:38:12,Готівкою
B,644-20-3927,Алкоголь,Чоловік,29,342.86,4,20.57,Весна,397.72,2023-02-20,15:47:06,Готівкою
B,895-50-5880,Солодкі напої,Чоловік,29,215.53,7,12.93,Весна,250.01,2023-03-05,12:05:40,Готівкою
B,175-54-5907,Солодкі напої,Жінка,31,275.69,7,16.54,Весна,319.8,2023-01-04,16:02:02,Готівкою
A,329-80-6857,Солодощі,Чоловік,12,1282.98,10,76.98,Весна,1488.26,2023-03-18,20:33:13,Оплата карткою
A,977-14-3896,Фрукти та овочі,Жінка,25,246.11,8,14.77,Весна,285.49,2023-02-13,17:26:21,Готівкою
